time,FID,etof,acres
2016-12-01,077_000040,0.229,66.515
2016-12-01,077_000062,0.106,63.009
2016-12-01,077_000066,0.144,111.285
2016-12-01,077_000049,0.277,19.941
2016-12-01,077_000050,0.209,28.331
2017-01-01,077_000017,0.028,35.512
2017-01-01,077_000018,0.037,7.79
2017-01-01,077_000019,0.222,26.043
2017-01-01,077_000020,0.055,18.267
2017-01-01,077_000063,0.059,85.433
2017-01-01,077_000038,0.029,82.327
2017-01-01,077_000039,0.032,63.029
2017-01-01,077_000040,0.071,66.515
2017-01-01,077_000062,0.028,63.009
2017-01-01,077_000066,0.027,111.285
2017-01-01,077_000049,0.107,19.941
2017-01-01,077_000050,0.048,28.331
2017-02-01,077_000017,0.0,35.512
2017-02-01,077_000018,0.0,7.79
2017-02-01,077_000019,0.0,26.043
2017-02-01,077_000020,0.0,18.267
2017-02-01,077_000063,0.0,85.433
2017-02-01,077_000038,0.0,82.327
2017-02-01,077_000039,0.011,63.029
2017-02-01,077_000040,0.0,66.515
2017-02-01,077_000062,0.0,63.009
2017-02-01,077_000066,0.0,111.285
2017-02-01,077_000049,0.0,19.941
2017-02-01,077_000050,0.0,28.331
2017-03-01,077_000017,0.45,35.512
2017-03-01,077_000018,0.344,7.79
2017-03-01,077_000019,0.379,26.043
2017-03-01,077_000020,0.4,18.267
2017-03-01,077_000063,0.417,85.433
2017-03-01,077_000038,0.423,82.327
2017-03-01,077_000039,0.377,63.029
2017-03-01,077_000040,0.481,66.515
2017-03-01,077_000062,0.478,63.009
2017-03-01,077_000066,0.393,111.285
2017-03-01,077_000049,0.409,19.941
2017-03-01,077_000050,0.514,28.331
2017-04-01,077_000017,0.782,35.512
2017-04-01,077_000018,0.642,7.79
2017-04-01,077_000019,0.697,26.043
2017-04-01,077_000020,0.723,18.267
2017-04-01,077_000063,0.716,85.433
2017-04-01,077_000038,0.728,82.327
2017-04-01,077_000039,0.654,63.029
2017-04-01,077_000040,0.811,66.515
2017-04-01,077_000062,0.857,63.009
2017-04-01,077_000066,0.727,111.285
2017-04-01,077_000049,0.774,19.941
2017-04-01,077_000050,0.92,28.331
2017-05-01,077_000017,0.922,35.512
2017-05-01,077_000018,0.861,7.79
2017-05-01,077_000019,0.921,26.043
2017-05-01,077_000020,0.911,18.267
2017-05-01,077_000063,0.903,85.433
2017-05-01,077_000038,0.843,82.327
2017-05-01,077_000039,0.858,63.029
2017-05-01,077_000040,0.964,66.515
2017-05-01,077_000062,1.0,63.009
2017-05-01,077_000066,0.989,111.285
2017-05-01,077_000049,0.945,19.941
2017-05-01,077_000050,0.944,28.331
2017-06-01,077_000017,1.031,35.512
2017-06-01,077_000018,0.876,7.79
2017-06-01,077_000019,0.91,26.043
2017-06-01,077_000020,1.012,18.267
2017-06-01,077_000063,0.924,85.433
2017-06-01,077_000038,0.943,82.327
2017-06-01,077_000039,1.033,63.029
2017-06-01,077_000040,0.867,66.515
2017-06-01,077_000062,1.074,63.009
2017-06-01,077_000066,0.942,111.285
2017-06-01,077_000049,1.017,19.941
2017-06-01,077_000050,1.023,28.331
2017-07-01,077_000017,0.9,35.512
2017-07-01,077_000018,0.779,7.79
2017-07-01,077_000019,0.813,26.043
2017-07-01,077_000020,0.937,18.267
2017-07-01,077_000063,0.834,85.433
2017-07-01,077_000038,0.948,82.327
2017-07-01,077_000039,0.774,63.029
2017-07-01,077_000040,0.972,66.515
2017-07-01,077_000062,0.841,63.009
2017-07-01,077_000066,1.007,111.285
2017-07-01,077_000049,0.896,19.941
2017-07-01,077_000050,0.801,28.331
2017-08-01,077_000017,0.869,35.512
2017-08-01,077_000018,0.644,7.79
2017-08-01,077_000019,0.566,26.043
2017-08-01,077_000020,0.818,18.267
2017-08-01,077_000063,0.708,85.433
2017-08-01,077_000038,0.916,82.327
2017-08-01,077_000039,0.792,63.029
2017-08-01,077_000040,0.88,66.515
2017-08-01,077_000062,0.925,63.009
2017-08-01,077_000066,0.946,111.285
2017-08-01,077_000049,0.859,19.941
2017-08-01,077_000050,0.691,28.331
2017-09-01,077_000017,0.844,35.512
2017-09-01,077_000018,0.611,7.79
2017-09-01,077_000019,0.535,26.043
2017-09-01,077_000020,0.746,18.267
2017-09-01,077_000063,0.708,85.433
2017-09-01,077_000038,0.884,82.327
2017-09-01,077_000039,0.718,63.029
2017-09-01,077_000040,0.7,66.515
2017-09-01,077_000062,0.808,63.009
2017-09-01,077_000066,0.882,111.285
2017-09-01,077_000049,0.773,19.941
2017-09-01,077_000050,0.5,28.331
2017-10-01,077_000017,0.61,35.512
2017-10-01,077_000018,0.561,7.79
2017-10-01,077_000019,0.552,26.043
2017-10-01,077_000020,0.631,18.267
2017-10-01,077_000063,0.602,85.433
2017-10-01,077_000038,0.568,82.327
2017-10-01,077_000039,0.488,63.029
2017-10-01,077_000040,0.615,66.515
2017-10-01,077_000062,0.608,63.009
2017-10-01,077_000066,0.672,111.285
2017-10-01,077_000049,0.583,19.941
2017-10-01,077_000050,0.533,28.331
2017-11-01,077_000017,0.633,35.512
2017-11-01,077_000018,0.582,7.79
2017-11-01,077_000019,0.61,26.043
2017-11-01,077_000020,0.65,18.267
2017-11-01,077_000063,0.59,85.433
2017-11-01,077_000038,0.46,82.327
2017-11-01,077_000039,0.464,63.029
2017-11-01,077_000040,0.483,66.515
2017-11-01,077_000062,0.516,63.009
2017-11-01,077_000066,0.548,111.285
2017-11-01,077_000049,0.545,19.941
2017-11-01,077_000050,0.51,28.331
2017-12-01,077_000017,0.666,35.512
2017-12-01,077_000018,0.642,7.79
2017-12-01,077_000019,0.592,26.043
2017-12-01,077_000020,0.603,18.267
2017-12-01,077_000063,0.552,85.433
2017-12-01,077_000038,0.405,82.327
2017-12-01,077_000039,0.474,63.029
2017-12-01,077_000040,0.41,66.515
2017-12-01,077_000062,0.412,63.009
2017-12-01,077_000066,0.448,111.285
2017-12-01,077_000049,0.47,19.941
2017-12-01,077_000050,0.449,28.331
2018-01-01,077_000017,0.0,35.512
2018-01-01,077_000018,0.0,7.79
2018-01-01,077_000019,0.0,26.043
2018-01-01,077_000020,0.0,18.267
2018-01-01,077_000063,0.0,85.433
2018-01-01,077_000038,0.0,82.327
2018-01-01,077_000039,0.0,63.029
2018-01-01,077_000040,0.0,66.515
2018-01-01,077_000062,0.0,63.009
2018-01-01,077_000066,0.0,111.285
2018-01-01,077_000049,0.0,19.941
2018-01-01,077_000050,0.0,28.331
2018-02-01,077_000017,0.0,35.512
2018-02-01,077_000018,0.0,7.79
2018-02-01,077_000019,0.0,26.043
2018-02-01,077_000020,0.0,18.267
2018-02-01,077_000063,0.0,85.433
2018-02-01,077_000038,0.0,82.327
2018-02-01,077_000039,0.0,63.029
2018-02-01,077_000040,0.0,66.515
2018-02-01,077_000062,0.014,63.009
2018-02-01,077_000066,0.0,111.285
2018-02-01,077_000049,0.0,19.941
2018-02-01,077_000050,0.071,28.331
2018-03-01,077_000017,0.332,35.512
2018-03-01,077_000018,0.327,7.79
2018-03-01,077_000019,0.299,26.043
2018-03-01,077_000020,0.348,18.267
2018-03-01,077_000063,0.339,85.433
2018-03-01,077_000038,0.341,82.327
2018-03-01,077_000039,0.293,63.029
2018-03-01,077_000040,0.285,66.515
2018-03-01,077_000062,0.31,63.009
2018-03-01,077_000066,0.304,111.285
2018-03-01,077_000049,0.354,19.941
2018-03-01,077_000050,0.332,28.331
2018-04-01,077_000017,0.751,35.512
2018-04-01,077_000018,0.701,7.79
2018-04-01,077_000019,0.605,26.043
2018-04-01,077_000020,0.687,18.267
2018-04-01,077_000063,0.743,85.433
2018-04-01,077_000038,0.714,82.327
2018-04-01,077_000039,0.66,63.029
2018-04-01,077_000040,0.556,66.515
2018-04-01,077_000062,0.72,63.009
2018-04-01,077_000066,0.629,111.285
2018-04-01,077_000049,0.754,19.941
2018-04-01,077_000050,0.681,28.331
2018-05-01,077_000017,0.854,35.512
2018-05-01,077_000018,0.827,7.79
2018-05-01,077_000019,0.746,26.043
2018-05-01,077_000020,0.816,18.267
2018-05-01,077_000063,0.882,85.433
2018-05-01,077_000038,0.791,82.327
2018-05-01,077_000039,0.699,63.029
2018-05-01,077_000040,0.858,66.515
2018-05-01,077_000062,0.906,63.009
2018-05-01,077_000066,0.875,111.285
2018-05-01,077_000049,0.882,19.941
2018-05-01,077_000050,0.839,28.331
2018-06-01,077_000017,1.044,35.512
2018-06-01,077_000018,0.962,7.79
2018-06-01,077_000019,1.017,26.043
2018-06-01,077_000020,1.001,18.267
2018-06-01,077_000063,1.029,85.433
2018-06-01,077_000038,0.994,82.327
2018-06-01,077_000039,0.791,63.029
2018-06-01,077_000040,0.935,66.515
2018-06-01,077_000062,1.077,63.009
2018-06-01,077_000066,1.044,111.285
2018-06-01,077_000049,1.003,19.941
2018-06-01,077_000050,1.044,28.331
2018-07-01,077_000017,0.846,35.512
2018-07-01,077_000018,0.775,7.79
2018-07-01,077_000019,0.747,26.043
2018-07-01,077_000020,0.928,18.267
2018-07-01,077_000063,0.78,85.433
2018-07-01,077_000038,0.964,82.327
2018-07-01,077_000039,0.893,63.029
2018-07-01,077_000040,0.998,66.515
2018-07-01,077_000062,0.855,63.009
2018-07-01,077_000066,0.89,111.285
2018-07-01,077_000049,0.827,19.941
2018-07-01,077_000050,0.824,28.331
2018-08-01,077_000017,0.903,35.512
2018-08-01,077_000018,0.598,7.79
2018-08-01,077_000019,0.599,26.043
2018-08-01,077_000020,0.794,18.267
2018-08-01,077_000063,0.748,85.433
2018-08-01,077_000038,0.795,82.327
2018-08-01,077_000039,0.93,63.029
2018-08-01,077_000040,0.862,66.515
2018-08-01,077_000062,0.912,63.009
2018-08-01,077_000066,0.905,111.285
2018-08-01,077_000049,0.83,19.941
2018-08-01,077_000050,0.741,28.331
2018-09-01,077_000017,0.927,35.512
2018-09-01,077_000018,0.621,7.79
2018-09-01,077_000019,0.59,26.043
2018-09-01,077_000020,0.795,18.267
2018-09-01,077_000063,0.8,85.433
2018-09-01,077_000038,0.891,82.327
2018-09-01,077_000039,0.877,63.029
2018-09-01,077_000040,0.804,66.515
2018-09-01,077_000062,0.891,63.009
2018-09-01,077_000066,0.99,111.285
2018-09-01,077_000049,0.827,19.941
2018-09-01,077_000050,0.705,28.331
2018-10-01,077_000017,0.745,35.512
2018-10-01,077_000018,0.613,7.79
2018-10-01,077_000019,0.642,26.043
2018-10-01,077_000020,0.766,18.267
2018-10-01,077_000063,0.711,85.433
2018-10-01,077_000038,0.651,82.327
2018-10-01,077_000039,0.626,63.029
2018-10-01,077_000040,0.743,66.515
2018-10-01,077_000062,0.668,63.009
2018-10-01,077_000066,0.789,111.285
2018-10-01,077_000049,0.686,19.941
2018-10-01,077_000050,0.609,28.331
2018-11-01,077_000017,0.66,35.512
2018-11-01,077_000018,0.652,7.79
2018-11-01,077_000019,0.68,26.043
2018-11-01,077_000020,0.699,18.267
2018-11-01,077_000063,0.681,85.433
2018-11-01,077_000038,0.617,82.327
2018-11-01,077_000039,0.598,63.029
2018-11-01,077_000040,0.668,66.515
2018-11-01,077_000062,0.676,63.009
2018-11-01,077_000066,0.681,111.285
2018-11-01,077_000049,0.67,19.941
2018-11-01,077_000050,0.67,28.331
2018-12-01,077_000017,0.0,35.512
2018-12-01,077_000018,0.0,7.79
2018-12-01,077_000019,0.031,26.043
2018-12-01,077_000020,0.0,18.267
