time,FID,etof,acres
2020-11-01,077_000018,0.7,7.79
2020-11-01,077_000019,0.39,26.043
2020-11-01,077_000020,0.62,18.267
2020-11-01,077_000063,0.668,85.433
2020-11-01,077_000038,0.409,82.327
2020-11-01,077_000039,0.541,63.029
2020-11-01,077_000040,0.544,66.515
2020-11-01,077_000062,0.439,63.009
2020-11-01,077_000066,0.554,111.285
2020-11-01,077_000049,0.377,19.941
2020-11-01,077_000050,0.408,28.331
2020-12-01,077_000017,0.524,35.512
2020-12-01,077_000018,0.525,7.79
2020-12-01,077_000019,0.289,26.043
2020-12-01,077_000020,0.511,18.267
2020-12-01,077_000063,0.547,85.433
2020-12-01,077_000038,0.363,82.327
2020-12-01,077_000039,0.467,63.029
2020-12-01,077_000040,0.529,66.515
2020-12-01,077_000062,0.387,63.009
2020-12-01,077_000066,0.527,111.285
2020-12-01,077_000049,0.299,19.941
2020-12-01,077_000050,0.354,28.331
2021-01-01,077_000017,0.319,35.512
2021-01-01,077_000018,0.286,7.79
2021-01-01,077_000019,0.301,26.043
2021-01-01,077_000020,0.224,18.267
2021-01-01,077_000063,0.276,85.433
2021-01-01,077_000038,0.315,82.327
2021-01-01,077_000039,0.248,63.029
2021-01-01,077_000040,0.349,66.515
2021-01-01,077_000062,0.283,63.009
2021-01-01,077_000066,0.318,111.285
2021-01-01,077_000049,0.169,19.941
2021-01-01,077_000050,0.257,28.331
2021-02-01,077_000017,0.446,35.512
2021-02-01,077_000018,0.41,7.79
2021-02-01,077_000019,0.378,26.043
2021-02-01,077_000020,0.316,18.267
2021-02-01,077_000063,0.367,85.433
2021-02-01,077_000038,0.408,82.327
2021-02-01,077_000039,0.284,63.029
2021-02-01,077_000040,0.455,66.515
2021-02-01,077_000062,0.34,63.009
2021-02-01,077_000066,0.415,111.285
2021-02-01,077_000049,0.287,19.941
2021-02-01,077_000050,0.287,28.331
2021-03-01,077_000017,0.439,35.512
2021-03-01,077_000018,0.342,7.79
2021-03-01,077_000019,0.489,26.043
2021-03-01,077_000020,0.424,18.267
2021-03-01,077_000063,0.401,85.433
2021-03-01,077_000038,0.495,82.327
2021-03-01,077_000039,0.48,63.029
2021-03-01,077_000040,0.493,66.515
2021-03-01,077_000062,0.425,63.009
2021-03-01,077_000066,0.465,111.285
2021-03-01,077_000049,0.4,19.941
2021-03-01,077_000050,0.383,28.331
2021-04-01,077_000017,0.508,35.512
2021-04-01,077_000018,0.553,7.79
2021-04-01,077_000019,0.475,26.043
2021-04-01,077_000020,0.453,18.267
2021-04-01,077_000063,0.462,85.433
2021-04-01,077_000038,0.756,82.327
2021-04-01,077_000039,0.628,63.029
2021-04-01,077_000040,0.528,66.515
2021-04-01,077_000062,0.487,63.009
2021-04-01,077_000066,0.586,111.285
2021-04-01,077_000049,0.411,19.941
2021-04-01,077_000050,0.475,28.331
2021-05-01,077_000017,0.894,35.512
2021-05-01,077_000018,0.822,7.79
2021-05-01,077_000019,0.749,26.043
2021-05-01,077_000020,0.748,18.267
2021-05-01,077_000063,0.87,85.433
2021-05-01,077_000038,0.933,82.327
2021-05-01,077_000039,0.937,63.029
2021-05-01,077_000040,0.888,66.515
2021-05-01,077_000062,0.877,63.009
2021-05-01,077_000066,0.882,111.285
2021-05-01,077_000049,0.814,19.941
2021-05-01,077_000050,0.849,28.331
2021-06-01,077_000017,0.962,35.512
2021-06-01,077_000018,0.789,7.79
2021-06-01,077_000019,0.624,26.043
2021-06-01,077_000020,0.818,18.267
2021-06-01,077_000063,0.862,85.433
2021-06-01,077_000038,0.955,82.327
2021-06-01,077_000039,0.993,63.029
2021-06-01,077_000040,0.912,66.515
2021-06-01,077_000062,0.935,63.009
2021-06-01,077_000066,0.954,111.285
2021-06-01,077_000049,0.754,19.941
2021-06-01,077_000050,0.867,28.331
2021-07-01,077_000017,0.775,35.512
2021-07-01,077_000018,0.532,7.79
2021-07-01,077_000019,0.646,26.043
2021-07-01,077_000020,0.731,18.267
2021-07-01,077_000063,0.661,85.433
2021-07-01,077_000038,0.858,82.327
2021-07-01,077_000039,0.774,63.029
2021-07-01,077_000040,0.868,66.515
2021-07-01,077_000062,0.912,63.009
2021-07-01,077_000066,0.925,111.285
2021-07-01,077_000049,0.518,19.941
2021-07-01,077_000050,0.72,28.331
2021-08-01,077_000017,0.922,35.512
2021-08-01,077_000018,0.743,7.79
2021-08-01,077_000019,0.953,26.043
2021-08-01,077_000020,0.842,18.267
2021-08-01,077_000063,0.868,85.433
2021-08-01,077_000038,0.948,82.327
2021-08-01,077_000039,0.983,63.029
2021-08-01,077_000040,0.9,66.515
2021-08-01,077_000062,0.985,63.009
2021-08-01,077_000066,0.985,111.285
2021-08-01,077_000049,0.735,19.941
2021-08-01,077_000050,0.814,28.331
2021-09-01,077_000017,0.752,35.512
2021-09-01,077_000018,0.623,7.79
2021-09-01,077_000019,0.655,26.043
2021-09-01,077_000020,0.737,18.267
2021-09-01,077_000063,0.655,85.433
2021-09-01,077_000038,0.796,82.327
2021-09-01,077_000039,0.654,63.029
2021-09-01,077_000040,0.704,66.515
2021-09-01,077_000062,0.814,63.009
2021-09-01,077_000066,0.712,111.285
2021-09-01,077_000049,0.693,19.941
2021-09-01,077_000050,0.673,28.331
2021-10-01,077_000017,0.661,35.512
2021-10-01,077_000018,0.531,7.79
2021-10-01,077_000019,0.662,26.043
2021-10-01,077_000020,0.686,18.267
2021-10-01,077_000063,0.538,85.433
2021-10-01,077_000038,0.642,82.327
2021-10-01,077_000039,0.633,63.029
2021-10-01,077_000040,0.608,66.515
2021-10-01,077_000062,0.668,63.009
2021-10-01,077_000066,0.619,111.285
2021-10-01,077_000049,0.626,19.941
2021-10-01,077_000050,0.571,28.331
2021-11-01,077_000017,0.564,35.512
2021-11-01,077_000018,0.587,7.79
2021-11-01,077_000019,0.753,26.043
2021-11-01,077_000020,0.667,18.267
2021-11-01,077_000063,0.525,85.433
2021-11-01,077_000038,0.618,82.327
2021-11-01,077_000039,0.663,63.029
2021-11-01,077_000040,0.706,66.515
2021-11-01,077_000062,0.633,63.009
2021-11-01,077_000066,0.695,111.285
2021-11-01,077_000049,0.535,19.941
2021-11-01,077_000050,0.534,28.331
2021-12-01,077_000017,0.453,35.512
2021-12-01,077_000018,0.464,7.79
2021-12-01,077_000019,0.679,26.043
2021-12-01,077_000020,0.512,18.267
2021-12-01,077_000063,0.446,85.433
2021-12-01,077_000038,0.574,82.327
2021-12-01,077_000039,0.58,63.029
2021-12-01,077_000040,0.609,66.515
2021-12-01,077_000062,0.591,63.009
2021-12-01,077_000066,0.64,111.285
2021-12-01,077_000049,0.412,19.941
2021-12-01,077_000050,0.513,28.331
2022-01-01,077_000017,0.027,35.512
2022-01-01,077_000019,0.083,26.043
2022-01-01,077_000020,0.014,18.267
2022-01-01,077_000063,0.033,85.433
2022-01-01,077_000038,0.113,82.327
2022-01-01,077_000039,0.0,63.029
2022-01-01,077_000040,0.082,66.515
2022-01-01,077_000062,0.11,63.009
2022-01-01,077_000066,0.066,111.285
2022-01-01,077_000049,0.064,19.941
2022-01-01,077_000050,0.147,28.331
2022-02-01,077_000017,0.252,35.512
2022-02-01,077_000018,0.244,7.79
2022-02-01,077_000019,0.379,26.043
2022-02-01,077_000020,0.292,18.267
2022-02-01,077_000063,0.274,85.433
2022-02-01,077_000038,0.326,82.327
2022-02-01,077_000039,0.254,63.029
2022-02-01,077_000040,0.36,66.515
2022-02-01,077_000062,0.376,63.009
2022-02-01,077_000066,0.324,111.285
2022-02-01,077_000049,0.278,19.941
2022-02-01,077_000050,0.38,28.331
2022-03-01,077_000017,0.482,35.512
2022-03-01,077_000018,0.456,7.79
2022-03-01,077_000019,0.58,26.043
2022-03-01,077_000020,0.473,18.267
2022-03-01,077_000063,0.468,85.433
2022-03-01,077_000038,0.424,82.327
2022-03-01,077_000039,0.395,63.029
2022-03-01,077_000040,0.556,66.515
2022-03-01,077_000062,0.534,63.009
2022-03-01,077_000066,0.473,111.285
2022-03-01,077_000049,0.434,19.941
2022-03-01,077_000050,0.478,28.331
2022-04-01,077_000017,0.716,35.512
2022-04-01,077_000018,0.532,7.79
2022-04-01,077_000019,0.704,26.043
2022-04-01,077_000020,0.586,18.267
2022-04-01,077_000063,0.601,85.433
2022-04-01,077_000038,0.513,82.327
2022-04-01,077_000039,0.564,63.029
2022-04-01,077_000040,0.544,66.515
2022-04-01,077_000062,0.56,63.009
2022-04-01,077_000066,0.604,111.285
2022-04-01,077_000049,0.587,19.941
2022-04-01,077_000050,0.565,28.331
2022-05-01,077_000017,0.68,35.512
2022-05-01,077_000018,0.653,7.79
2022-05-01,077_000019,0.745,26.043
2022-05-01,077_000020,0.701,18.267
2022-05-01,077_000063,0.697,85.433
2022-05-01,077_000038,0.627,82.327
2022-05-01,077_000039,0.695,63.029
2022-05-01,077_000040,0.737,66.515
2022-05-01,077_000062,0.628,63.009
2022-05-01,077_000066,0.725,111.285
2022-05-01,077_000049,0.728,19.941
2022-05-01,077_000050,0.596,28.331
2022-06-01,077_000017,0.93,35.512
2022-06-01,077_000018,0.752,7.79
2022-06-01,077_000019,0.594,26.043
2022-06-01,077_000020,0.87,18.267
2022-06-01,077_000063,0.828,85.433
2022-06-01,077_000038,0.94,82.327
2022-06-01,077_000039,0.945,63.029
2022-06-01,077_000040,0.912,66.515
2022-06-01,077_000062,0.986,63.009
2022-06-01,077_000066,0.915,111.285
2022-06-01,077_000049,0.774,19.941
2022-06-01,077_000050,1.039,28.331
2022-07-01,077_000017,0.951,35.512
2022-07-01,077_000018,0.706,7.79
2022-07-01,077_000019,0.835,26.043
2022-07-01,077_000020,0.915,18.267
2022-07-01,077_000063,0.746,85.433
2022-07-01,077_000038,0.918,82.327
2022-07-01,077_000039,0.879,63.029
2022-07-01,077_000040,0.982,66.515
2022-07-01,077_000062,1.016,63.009
2022-07-01,077_000066,1.005,111.285
2022-07-01,077_000049,0.765,19.941
2022-07-01,077_000050,0.991,28.331
2022-08-01,077_000017,0.703,35.512
2022-08-01,077_000018,0.481,7.79
2022-08-01,077_000019,0.859,26.043
2022-08-01,077_000020,0.723,18.267
2022-08-01,077_000063,0.648,85.433
2022-08-01,077_000038,0.801,82.327
2022-08-01,077_000039,0.872,63.029
2022-08-01,077_000040,0.834,66.515
2022-08-01,077_000062,0.795,63.009
2022-08-01,077_000066,0.856,111.285
2022-08-01,077_000049,0.396,19.941
2022-08-01,077_000050,0.744,28.331
2022-09-01,077_000017,0.778,35.512
2022-09-01,077_000018,0.472,7.79
2022-09-01,077_000019,0.609,26.043
2022-09-01,077_000020,0.641,18.267
2022-09-01,077_000063,0.613,85.433
2022-09-01,077_000038,0.839,82.327
2022-09-01,077_000039,0.709,63.029
2022-09-01,077_000040,0.772,66.515
2022-09-01,077_000062,0.863,63.009
2022-09-01,077_000066,0.821,111.285
2022-09-01,077_000049,0.322,19.941
2022-09-01,077_000050,0.694,28.331
2022-10-01,077_000017,0.728,35.512
2022-10-01,077_000018,0.567,7.79
2022-10-01,077_000019,0.687,26.043
2022-10-01,077_000020,0.614,18.267
2022-10-01,077_000063,0.625,85.433
2022-10-01,077_000038,0.704,82.327
2022-10-01,077_000039,0.642,63.029
2022-10-01,077_000040,0.678,66.515
2022-10-01,077_000062,0.7,63.009
2022-10-01,077_000066,0.705,111.285
2022-10-01,077_000049,0.336,19.941
2022-10-01,077_000050,0.616,28.331
2022-11-01,077_000017,0.42,35.512
2022-11-01,077_000018,0.341,7.79
2022-11-01,077_000019,0.385,26.043
2022-11-01,077_000020,0.365,18.267
2022-11-01,077_000063,0.366,85.433
2022-11-01,077_000038,0.375,82.327
2022-11-01,077_000039,0.353,63.029
2022-11-01,077_000040,0.366,66.515
2022-11-01,077_000062,0.385,63.009
2022-11-01,077_000066,0.381,111.285
2022-11-01,077_000049,0.196,19.941
2022-11-01,077_000050,0.333,28.331
2022-12-01,077_000017,0.0,35.512
2022-12-01,077_000018,0.0,7.79
2022-12-01,077_000019,0.002,26.043
2022-12-01,077_000020,0.0,18.267
2022-12-01,077_000063,0.0,85.433
2022-12-01,077_000038,0.014,82.327
2022-12-01,077_000039,0.0,63.029
2022-12-01,077_000040,0.001,66.515
2022-12-01,077_000062,0.026,63.009
2022-12-01,077_000066,0.008,111.285
2022-12-01,077_000049,0.0,19.941
2022-12-01,077_000050,0.028,28.331
2023-01-01,077_000017,0.013,35.512
2023-01-01,077_000018,0.003,7.79
2023-01-01,077_000019,0.022,26.043
2023-01-01,077_000020,0.006,18.267
2023-01-01,077_000063,0.002,85.433
2023-01-01,077_000038,0.053,82.327
2023-01-01,077_000039,0.002,63.029
2023-01-01,077_000040,0.027,66.515
2023-01-01,077_000062,0.1,63.009
2023-01-01,077_000066,0.042,111.285
2023-01-01,077_000049,0.021,19.941
2023-01-01,077_000050,0.109,28.331
2023-02-01,077_000017,0.146,35.512
2023-02-01,077_000018,0.142,7.79
2023-02-01,077_000019,0.179,26.043
2023-02-01,077_000020,0.173,18.267
2023-02-01,077_000063,0.144,85.433
2023-02-01,077_000038,0.188,82.327
2023-02-01,077_000039,0.121,63.029
2023-02-01,077_000040,0.161,66.515
2023-02-01,077_000062,0.325,63.009
2023-02-01,077_000066,0.161,111.285
2023-02-01,077_000049,0.192,19.941
2023-02-01,077_000050,0.409,28.331
2023-03-01,077_000017,0.254,35.512
2023-03-01,077_000018,0.236,7.79
2023-03-01,077_000019,0.282,26.043
2023-03-01,077_000020,0.257,18.267
2023-03-01,077_000063,0.23,85.433
2023-03-01,077_000038,0.262,82.327
2023-03-01,077_000039,0.253,63.029
2023-03-01,077_000040,0.284,66.515
2023-03-01,077_000062,0.255,63.009
2023-03-01,077_000066,0.24,111.285
2023-03-01,077_000049,0.184,19.941
2023-03-01,077_000050,0.26,28.331
2023-04-01,077_000017,0.43,35.512
2023-04-01,077_000018,0.347,7.79
2023-04-01,077_000019,0.428,26.043
2023-04-01,077_000020,0.409,18.267
2023-04-01,077_000063,0.354,85.433
2023-04-01,077_000038,0.404,82.327
2023-04-01,077_000039,0.426,63.029
2023-04-01,077_000040,0.426,66.515
2023-04-01,077_000062,0.399,63.009
2023-04-01,077_000066,0.42,111.285
2023-04-01,077_000049,0.279,19.941
2023-04-01,077_000050,0.397,28.331
2023-05-01,077_000017,0.957,35.512
2023-05-01,077_000018,0.817,7.79
2023-05-01,077_000019,0.933,26.043
2023-05-01,077_000020,0.917,18.267
2023-05-01,077_000063,0.936,85.433
2023-05-01,077_000038,0.842,82.327
2023-05-01,077_000039,0.889,63.029
2023-05-01,077_000040,0.947,66.515
2023-05-01,077_000062,0.798,63.009
2023-05-01,077_000066,0.886,111.285
2023-05-01,077_000049,0.755,19.941
2023-05-01,077_000050,0.796,28.331
2023-06-01,077_000017,1.093,35.512
2023-06-01,077_000018,0.997,7.79
2023-06-01,077_000019,1.048,26.043
2023-06-01,077_000020,1.047,18.267
2023-06-01,077_000063,1.095,85.433
2023-06-01,077_000038,1.039,82.327
2023-06-01,077_000039,1.032,63.029
2023-06-01,077_000040,1.051,66.515
2023-06-01,077_000062,1.065,63.009
2023-06-01,077_000066,1.046,111.285
2023-06-01,077_000049,1.009,19.941
2023-06-01,077_000050,1.041,28.331
2023-07-01,077_000017,0.875,35.512
2023-07-01,077_000018,0.696,7.79
2023-07-01,077_000019,0.73,26.043
2023-07-01,077_000020,0.852,18.267
2023-07-01,077_000063,0.689,85.433
2023-07-01,077_000038,0.991,82.327
2023-07-01,077_000039,0.917,63.029
2023-07-01,077_000040,0.998,66.515
2023-07-01,077_000062,0.908,63.009
2023-07-01,077_000066,0.996,111.285
2023-07-01,077_000049,0.79,19.941
2023-07-01,077_000050,0.865,28.331
2023-08-01,077_000017,0.888,35.512
2023-08-01,077_000018,0.596,7.79
2023-08-01,077_000019,0.745,26.043
2023-08-01,077_000020,0.728,18.267
2023-08-01,077_000063,0.629,85.433
2023-08-01,077_000038,0.865,82.327
2023-08-01,077_000039,0.923,63.029
2023-08-01,077_000040,0.86,66.515
2023-08-01,077_000062,0.908,63.009
2023-08-01,077_000066,0.872,111.285
2023-08-01,077_000049,0.527,19.941
2023-08-01,077_000050,0.844,28.331
2023-09-01,077_000017,0.938,35.512
2023-09-01,077_000018,0.676,7.79
2023-09-01,077_000019,0.777,26.043
2023-09-01,077_000020,0.701,18.267
2023-09-01,077_000063,0.713,85.433
2023-09-01,077_000038,0.937,82.327
2023-09-01,077_000039,0.893,63.029
2023-09-01,077_000040,0.854,66.515
2023-09-01,077_000062,0.993,63.009
2023-09-01,077_000066,0.969,111.285
2023-09-01,077_000049,0.516,19.941
2023-09-01,077_000050,0.917,28.331
2023-10-01,077_000017,0.786,35.512
2023-10-01,077_000018,0.698,7.79
2023-10-01,077_000019,0.692,26.043
2023-10-01,077_000020,0.59,18.267
2023-10-01,077_000063,0.697,85.433
2023-10-01,077_000038,0.732,82.327
2023-10-01,077_000039,0.755,63.029
2023-10-01,077_000040,0.724,66.515
2023-10-01,077_000062,0.778,63.009
2023-10-01,077_000066,0.731,111.285
2023-10-01,077_000049,0.474,19.941
2023-10-01,077_000050,0.729,28.331
2023-11-01,077_000017,0.652,35.512
2023-11-01,077_000018,0.623,7.79
2023-11-01,077_000019,0.574,26.043
2023-11-01,077_000020,0.579,18.267
2023-11-01,077_000063,0.648,85.433
2023-11-01,077_000038,0.531,82.327
2023-11-01,077_000039,0.542,63.029
2023-11-01,077_000040,0.608,66.515
2023-11-01,077_000062,0.662,63.009
2023-11-01,077_000066,0.554,111.285
2023-11-01,077_000049,0.483,19.941
2023-11-01,077_000050,0.645,28.331
2023-12-01,077_000017,0.518,35.512
2023-12-01,077_000018,0.466,7.79
2023-12-01,077_000019,0.378,26.043
2023-12-01,077_000020,0.453,18.267
2023-12-01,077_000063,0.55,85.433
2023-12-01,077_000038,0.417,82.327
2023-12-01,077_000039,0.287,63.029
2023-12-01,077_000040,0.534,66.515
2023-12-01,077_000062,0.494,63.009
2023-12-01,077_000066,0.458,111.285
2023-12-01,077_000049,0.329,19.941
2023-12-01,077_000050,0.514,28.331
